Store_ID,SKU_ID,Date,Units_On_Hand,OSA_Flag
2040,1000,2025-04-20,39,1
2040,1000,2025-04-21,38,1
2040,1000,2025-04-22,4,1
2040,1000,2025-04-23,3,1
2040,1000,2025-04-24,48,1
2040,1000,2025-04-25,26,1
2040,1000,2025-04-26,8,1
2040,1001,2025-04-20,9,1
2040,1001,2025-04-21,30,1
2040,1001,2025-04-22,10,1
2040,1001,2025-04-23,48,1
2040,1001,2025-04-24,15,1
2040,1001,2025-04-25,25,1
2040,1001,2025-04-26,50,1
2040,1005,2025-04-20,10,1
2040,1005,2025-04-21,41,1
2040,1005,2025-04-22,26,1
2040,1005,2025-04-23,25,1
2040,1005,2025-04-24,37,1
2040,1005,2025-04-25,12,1
2040,1005,2025-04-26,15,1
2040,1014,2025-04-20,22,1
2040,1014,2025-04-21,4,1
2040,1014,2025-04-22,14,1
2040,1014,2025-04-23,17,1
2040,1014,2025-04-24,8,1
2040,1014,2025-04-25,25,1
2040,1014,2025-04-26,7,1
2040,1013,2025-04-20,46,1
2040,1013,2025-04-21,47,1
2040,1013,2025-04-22,37,1
2040,1013,2025-04-23,43,1
2040,1013,2025-04-24,9,1
2040,1013,2025-04-25,13,1
2040,1013,2025-04-26,28,1
2040,1011,2025-04-20,9,1
2040,1011,2025-04-21,43,1
2040,1011,2025-04-22,17,1
2040,1011,2025-04-23,48,1
2040,1011,2025-04-24,20,1
2040,1011,2025-04-25,0,0
2040,1011,2025-04-26,40,1
2040,1008,2025-04-20,7,1
2040,1008,2025-04-21,33,1
2040,1008,2025-04-22,19,1
2040,1008,2025-04-23,33,1
2040,1008,2025-04-24,6,1
2040,1008,2025-04-25,49,1
2040,1008,2025-04-26,40,1
2040,1009,2025-04-20,38,1
2040,1009,2025-04-21,30,1
2040,1009,2025-04-22,14,1
2040,1009,2025-04-23,42,1
2040,1009,2025-04-24,28,1
2040,1009,2025-04-25,19,1
2040,1009,2025-04-26,7,1
2040,1002,2025-04-20,34,1
2040,1002,2025-04-21,47,1
2040,1002,2025-04-22,39,1
2040,1002,2025-04-23,29,1
2040,1002,2025-04-24,9,1
2040,1002,2025-04-25,4,1
2040,1002,2025-04-26,48,1
2040,1015,2025-04-20,46,1
2040,1015,2025-04-21,21,1
2040,1015,2025-04-22,17,1
2040,1015,2025-04-23,2,1
2040,1015,2025-04-24,24,1
2040,1015,2025-04-25,16,1
2040,1015,2025-04-26,7,1
2022,1000,2025-04-20,40,1
2022,1000,2025-04-21,29,1
2022,1000,2025-04-22,27,1
2022,1000,2025-04-23,37,1
2022,1000,2025-04-24,10,1
2022,1000,2025-04-25,45,1
2022,1000,2025-04-26,44,1
2022,1001,2025-04-20,50,1
2022,1001,2025-04-21,31,1
2022,1001,2025-04-22,48,1
2022,1001,2025-04-23,18,1
2022,1001,2025-04-24,14,1
2022,1001,2025-04-25,33,1
2022,1001,2025-04-26,6,1
2022,1005,2025-04-20,5,1
2022,1005,2025-04-21,46,1
2022,1005,2025-04-22,38,1
2022,1005,2025-04-23,38,1
2022,1005,2025-04-24,23,1
2022,1005,2025-04-25,15,1
2022,1005,2025-04-26,42,1
2022,1014,2025-04-20,31,1
2022,1014,2025-04-21,44,1
2022,1014,2025-04-22,27,1
2022,1014,2025-04-23,26,1
2022,1014,2025-04-24,3,1
2022,1014,2025-04-25,40,1
2022,1014,2025-04-26,6,1
2022,1013,2025-04-20,49,1
2022,1013,2025-04-21,17,1
2022,1013,2025-04-22,46,1
2022,1013,2025-04-23,46,1
2022,1013,2025-04-24,17,1
2022,1013,2025-04-25,16,1
2022,1013,2025-04-26,40,1
2022,1011,2025-04-20,32,1
2022,1011,2025-04-21,21,1
2022,1011,2025-04-22,26,1
2022,1011,2025-04-23,42,1
2022,1011,2025-04-24,16,1
2022,1011,2025-04-25,22,1
2022,1011,2025-04-26,5,1
2022,1008,2025-04-20,0,0
2022,1008,2025-04-21,6,1
2022,1008,2025-04-22,45,1
2022,1008,2025-04-23,31,1
2022,1008,2025-04-24,15,1
2022,1008,2025-04-25,37,1
2022,1008,2025-04-26,31,1
2022,1009,2025-04-20,14,1
2022,1009,2025-04-21,37,1
2022,1009,2025-04-22,27,1
2022,1009,2025-04-23,42,1
2022,1009,2025-04-24,17,1
2022,1009,2025-04-25,6,1
2022,1009,2025-04-26,49,1
2022,1002,2025-04-20,45,1
2022,1002,2025-04-21,31,1
2022,1002,2025-04-22,35,1
2022,1002,2025-04-23,38,1
2022,1002,2025-04-24,36,1
2022,1002,2025-04-25,24,1
2022,1002,2025-04-26,38,1
2022,1015,2025-04-20,33,1
2022,1015,2025-04-21,42,1
2022,1015,2025-04-22,24,1
2022,1015,2025-04-23,2,1
2022,1015,2025-04-24,38,1
2022,1015,2025-04-25,6,1
2022,1015,2025-04-26,37,1
2055,1000,2025-04-20,50,1
2055,1000,2025-04-21,41,1
2055,1000,2025-04-22,6,1
2055,1000,2025-04-23,36,1
2055,1000,2025-04-24,6,1
2055,1000,2025-04-25,7,1
2055,1000,2025-04-26,48,1
2055,1001,2025-04-20,15,1
2055,1001,2025-04-21,23,1
2055,1001,2025-04-22,37,1
2055,1001,2025-04-23,43,1
2055,1001,2025-04-24,45,1
2055,1001,2025-04-25,38,1
2055,1001,2025-04-26,26,1
2055,1005,2025-04-20,25,1
2055,1005,2025-04-21,45,1
2055,1005,2025-04-22,47,1
2055,1005,2025-04-23,2,1
2055,1005,2025-04-24,22,1
2055,1005,2025-04-25,41,1
2055,1005,2025-04-26,50,1
2055,1014,2025-04-20,28,1
2055,1014,2025-04-21,29,1
2055,1014,2025-04-22,36,1
2055,1014,2025-04-23,33,1
2055,1014,2025-04-24,2,1
2055,1014,2025-04-25,25,1
2055,1014,2025-04-26,40,1
2055,1013,2025-04-20,47,1
2055,1013,2025-04-21,49,1
2055,1013,2025-04-22,27,1
2055,1013,2025-04-23,42,1
2055,1013,2025-04-24,1,1
2055,1013,2025-04-25,13,1
2055,1013,2025-04-26,36,1
2055,1011,2025-04-20,11,1
2055,1011,2025-04-21,1,1
2055,1011,2025-04-22,40,1
2055,1011,2025-04-23,21,1
2055,1011,2025-04-24,6,1
2055,1011,2025-04-25,18,1
2055,1011,2025-04-26,26,1
2055,1008,2025-04-20,1,1
2055,1008,2025-04-21,46,1
2055,1008,2025-04-22,29,1
2055,1008,2025-04-23,16,1
2055,1008,2025-04-24,22,1
2055,1008,2025-04-25,43,1
2055,1008,2025-04-26,22,1
2055,1009,2025-04-20,22,1
2055,1009,2025-04-21,15,1
